"County
Code",County,Const.,Code,Constituency Name,New Registration,"Transfers of
RC","Changes of
Particular",Deletions,"Suspended
registered",Re
019,NYERI,094,,TETU,"1,344",893,16,,,
019,NYERI,095,,KIENI,"2,897","2,137",29,,,
019,NYERI,096,,MATHIRA,"3,593","1,853",23,,,
019,NYERI,097,,OTHAYA,"1,706","1,050",9,,,
019,NYERI,098,,MUKURWEINI,"1,324",748,9,,,
019,NYERI,099,,NYERI TOWN,"4,212","1,539",51,,,
020,KIRINYAGA,100,,MWEA,"4,377",423,,,,
020,KIRINYAGA,101,,GICHUGU,"2,416",318,7,,,
020,KIRINYAGA,102,,NDIA,"1,921",592,7,,,
020,KIRINYAGA,103,,KIRINYAGA CENTRAL,"3,479",288,5,,,
021,MURANGA,104,,KANGEMA,"1,723",631,13,,,
021,MURANGA,105,,MATHIOYA,"1,390",756,15,,,
021,MURANGA,106,,KIHARU,"4,421","1,916",11,,,
021,MURANGA,107,,KIGUMO,"2,073","2,024",21,,,15
021,MURANGA,108,,MARAGWA,"3,071","1,357",11,9,,9
021,MURANGA,109,,KANDARA,"2,584",830,20,,,
021,MURANGA,110,,GATANGA,"2,818","1,052",17,,,
022,KIAMBU,111,,GATUNDU SOUTH,"1,856","1,696",22,,,
022,KIAMBU,112,,GATUNDU NORTH,"1,704","1,117",6,,,
022,KIAMBU,113,,JUJA,"8,635","6,491",57,,,
022,KIAMBU,114,,THIKA TOWN,"8,845","6,002",21,,,
022,KIAMBU,115,,RUIRU,"6,950","3,358",58,,,
022,KIAMBU,116,,GITHUNGURI,"3,047",970,24,,,
022,KIAMBU,117,,KIAMBU,"3,097","1,297",26,,,
022,KIAMBU,118,,KIAMBAA,"7,186","3,447",49,,,
022,KIAMBU,119,,KABETE,"3,017","1,004",11,,,
022,KIAMBU,120,,KIKUYU,"3,621","1,554",21,,,
022,KIAMBU,121,,LIMURU,"2,954","1,241",24,,,
022,KIAMBU,122,,LARI,"1,664",668,10,,,
023,TURKANA,123,,TURKANA NORTH,"1,906",,,,,
023,TURKANA,124,,TURKANA WEST,"3,192",738,,,,
023,TURKANA,125,,TURKANA CENTRAL,"3,980","1,487",3,,,
023,TURKANA,126,,LOIMA,"1,707",145,,,,
023,TURKANA,127,,TURKANA SOUTH,"1,745","1,320",,,,
023,TURKANA,128,,TURKANA EAST,505,,,,,
024,WEST POKOT,129,,KAPENGURIA,"2,924",353,,,,
024,WEST POKOT,130,,SIGOR,"1,432",6,,,,
024,WEST POKOT,131,,KACHELIBA,"2,940",713,,,,
024,WEST POKOT,132,,POKOT SOUTH,"2,825",338,1,,,
025,SAMBURU,133,,SAMBURU WEST,"2,480",845,6,,,
025,SAMBURU,134,,SAMBURU NORTH,"1,640",148,,,,
025,SAMBURU,135,,SAMBURU EAST,"1,818",828,1,,,
026,TRANS NZOIA,136,,KWANZA,"3,759","1,686",17,,,
026,TRANS NZOIA,137,,ENDEBESS,"2,853",341,,,,
026,TRANS NZOIA,138,,SABOTI,"5,974","2,550",8,,,
026,TRANS NZOIA,139,,KIMININI,"5,227","3,170",22,,,
026,TRANS NZOIA,140,,CHERANGANY,"4,959","3,285",,,,
027,UASIN GISHU,141,,SOY,"6,261",455,8,,,
027,UASIN GISHU,142,,TURBO,"5,752",823,4,,,
027,UASIN GISHU,143,,MOIBEN,"6,913",866,2,,,
027,UASIN GISHU,144,,AINABKOI,"4,090",751,6,,,
027,UASIN GISHU,145,,KAPSERET,"4,716",337,6,,,
027,UASIN GISHU,146,,KESSES,"7,003","1,396",9,,,
028,ELGEYO/MARAKWET 147,,,MARAKWET EAST,"2,665",608,1,,,
028,ELGEYO/MARAKWET 148,,,MARAKWET WEST,"3,424",555,9,,,
028,ELGEYO/MARAKWET 149,,,KEIYO NORTH,"3,217",618,2,,,
028,ELGEYO/MARAKWET 150,,,KEIYO SOUTH,"2,783",136,,,,
029,NANDI,151,,TINDERET,"2,487",440,,,,
029,NANDI,152,,ALDAI,"3,721","1,161",,,,
029,NANDI,153,,NANDI HILLS,"3,435",436,,,,
029,NANDI,154,,CHESUMEI,"3,812","1,625",4,,,
029,NANDI,155,,EMGWEN,"4,422","1,407",,,,
029,NANDI,156,,MOSOP,"4,413","1,378",,,,
030,BARINGO,157,,TIATY,"2,255",40,,,,
030,BARINGO,158,,BARINGO NORTH,801,101,,,,
030,BARINGO,159,,BARINGO CENTRAL,"2,531",548,,,,
030,BARINGO,160,,BARINGO SOUTH,"1,842",531,,,,
030,BARINGO,161,,MOGOTIO,"1,830",466,,,,
030,BARINGO,162,,ELDAMA RAVINE,"2,992",786,3,,,
031,LAIKIPIA,163,,LAIKIPIA WEST,"3,748","1,436",16,,,
031,LAIKIPIA,164,,LAIKIPIA EAST,"2,678",,,,,
031,LAIKIPIA,165,,LAIKIPIA NORTH,"1,324",157,12,,,
032,NAKURU,166,,MOLO,"2,796",625,,,,
032,NAKURU,167,,NJORO,"4,014","1,938",2,,,
032,NAKURU,168,,NAIVASHA,"6,378","2,788",8,,,
032,NAKURU,169,,GILGIL,"3,447","2,145",42,,,
032,NAKURU,170,,KURESOI SOUTH,"3,831",428,,,,
032,NAKURU,171,,KURESOI NORTH,"3,290",,,,,
032,NAKURU,172,,SUBUKIA,"1,971",907,,,,
032,NAKURU,173,,RONGAI,686,,,,,
032,NAKURU,174,,BAHATI,"2,902","2,171",3,,,
032,NAKURU,175,,NAKURU TOWN WEST,"4,566","4,265",,,,
032,NAKURU,176,,NAKURU TOWN EAST,"4,804","3,130",26,,,
033,NAROK,177,,KILGORIS,"3,674","1,977",2,,,
033,NAROK,178,,EMURUA DIKIRR,"1,987",399,1,,,
033,NAROK,179,,NAROK NORTH,"6,107","1,085",,,,
033,NAROK,180,,NAROK EAST,"1,830",,,,,
033,NAROK,181,,NAROK SOUTH,"3,518",380,3,,,
033,NAROK,182,,NAROK WEST,"3,454",611,1,,,
034,KAJIADO,183,,KAJIADO NORTH,"4,368","1,233",17,,,
034,KAJIADO,184,,KAJIADO CENTRAL,"2,666",518,,,,
034,KAJIADO,185,,KAJIADO EAST,"5,761","4,534",,,,
034,KAJIADO,186,,KAJIADO WEST,"3,575","3,169",30,,,
034,KAJIADO,187,,KAJIADO SOUTH,"4,023","1,030",,,,
035,KERICHO,188,,KIPKELION EAST,"3,327",407,1,,,
035,KERICHO,189,,KIPKELION WEST,"1,977",584,,,,
035,KERICHO,190,,AINAMOI,"4,797","1,182",4,,,
035,KERICHO,191,,BURETI,"4,495",849,3,,,
035,KERICHO,192,,BELGUT,"4,093","1,080",1,,,
035,KERICHO,193,,SIGOWET/SOIN,"2,714",44,,,,
036,BOMET,194,,SOTIK,"4,259","1,523",,,,
036,BOMET,195,,CHEPALUNGU,"2,220",,,,,
036,BOMET,196,,BOMET EAST,"3,635",444,,,,
036,BOMET,197,,BOMET CENTRAL,"4,213",669,,,,
036,BOMET,198,,KONOIN,"3,313",937,5,,,
037,KAKAMEGA,199,,LUGARI,"3,854","1,968",1,,,
037,KAKAMEGA,200,,LIKUYANI,"3,254","1,498",17,,,
037,KAKAMEGA,201,,MALAVA,"4,935","1,526",10,,,
037,KAKAMEGA,202,,LURAMBI,"5,393","1,640",,,,
037,KAKAMEGA,203,,NAVAKHOLO,"3,210","1,529",1,,,
037,KAKAMEGA,204,,MUMIAS WEST,"2,384","1,149",,,,
037,KAKAMEGA,205,,MUMIAS EAST,"2,023",795,5,,,
037,KAKAMEGA,206,,MATUNGU,"2,885","1,678",,,,
037,KAKAMEGA,207,,BUTERE,"3,273",849,6,,,
037,KAKAMEGA,208,,KHWISERO,"2,155",813,,,,
037,KAKAMEGA,209,,SHINYALU,"3,249",979,5,2,,2
037,KAKAMEGA,210,,IKOLOMANI,"2,972",508,4,,,
038,VIHIGA,211,,VIHIGA,"2,144",419,5,,,
038,VIHIGA,212,,SABATIA,"2,142",944,6,,,
038,VIHIGA,213,,HAMISI,"3,296",739,3,,,
038,VIHIGA,214,,LUANDA,"1,780",918,5,,,
038,VIHIGA,215,,EMUHAYA,"2,417",638,8,,,
039,BUNGOMA,216,,MT. ELGON,"4,653","1,046",2,,,
039,BUNGOMA,217,,SIRISIA,"2,259","1,151",1,,,
039,BUNGOMA,218,,KABUCHAI,"3,347","1,619",22,,,
039,BUNGOMA,219,,BUMULA,"3,880","1,491",21,9,,9
039,BUNGOMA,220,,KANDUYI,"7,032","3,859",11,,,
039,BUNGOMA,221,,WEBUYE EAST,"2,514","1,247",,,,
039,BUNGOMA,222,,WEBUYE WEST,"2,657","1,007",,,,
039,BUNGOMA,223,,KIMILILI,"2,859",988,,,,
039,BUNGOMA,224,,TONGAREN,"3,978","1,145",,,,
040,BUSIA,225,,TESO NORTH,"4,096",680,2,,,
040,BUSIA,226,,TESO SOUTH,"4,130",577,7,,,
040,BUSIA,227,,NAMBALE,"3,142","1,273",16,,,
040,BUSIA,228,,MATAYOS,"4,268","1,205",9,,,
040,BUSIA,229,,BUTULA,"4,102","1,007",2,,,
040,BUSIA,230,,FUNYULA,"3,127","1,709",4,,,
040,BUSIA,231,,BUDALANGI,"2,547","1,297",6,,,
041,SIAYA,232,,UGENYA,"2,955","2,235",25,,,
041,SIAYA,233,,UGUNJA,"3,220","1,440",21,,,1
041,SIAYA,234,,ALEGO USONGA,"6,752","3,072",10,,,
041,SIAYA,235,,GEM,"4,819","2,449",56,,,
041,SIAYA,236,,BONDO,"7,708","2,813",16,,,
041,SIAYA,237,,RARIEDA,"3,314","1,672",13,,,
042,KISUMU,238,,KISUMU EAST,"5,083",831,5,,,
042,KISUMU,239,,KISUMU WEST,"3,711","3,372",7,,,
042,KISUMU,240,,KISUMU CENTRAL,"7,399","1,010",,,,
042,KISUMU,241,,SEME,"3,339",697,,,,
042,KISUMU,242,,NYANDO,"4,041","1,269",45,,,
042,KISUMU,243,,MUHORONI,"5,385",316,7,,,
042,KISUMU,244,,NYAKACH,"4,037",929,13,,,
043,HOMA BAY,245,,KASIPUL,"2,006",456,20,,,
043,HOMA BAY,246,,KABONDO KASIPUL,"2,838","1,715",,,,
043,HOMA BAY,247,,KARACHUONYO,"4,208","3,883",9,,,
043,HOMA BAY,248,,RANGWE,"2,750",161,1,,,
043,HOMA BAY,249,,HOMA BAY TOWN,"3,583","1,071",8,,,
043,HOMA BAY,250,,NDHIWA,"4,333","2,974",,,,
043,HOMA BAY,251,,MBITA,"3,286",934,5,,,
043,HOMA BAY,252,,SUBA,"3,026","1,149",,,,
044,MIGORI,253,,RONGO,"4,795","1,345",2,64,,
044,MIGORI,254,,AWENDO,"3,543",911,7,,,
044,MIGORI,255,,SUNA EAST,"3,401","1,151",2,,,
044,MIGORI,256,,SUNA WEST,"3,457","1,171",,,,
044,MIGORI,257,,URIRI,"3,693","5,207",1,,,
044,MIGORI,258,,NYATIKE,"3,603","1,933",2,,,
044,MIGORI,259,,KURIA WEST,"3,160",350,,,,
044,MIGORI,260,,KURIA EAST,"1,686",233,,,,
045,KISII,261,,BONCHARI,"3,445",828,23,,,
045,KISII,262,,SOUTH MUGIRANGO,"4,143",842,1,,,
045,KISII,263,,BOMACHOGE BORABU,"2,437","1,014",,,,
045,KISII,264,,BOBASI,"5,336",964,,,,
045,KISII,265,,BOMACHOGE CHACHE,"2,329",903,6,,,
045,KISII,266,,NYARIBARI MASABA,"3,143","1,533",7,,,
045,KISII,267,,NYARIBARI CHACHE,"8,015",,,,,
045,KISII,268,,KITUTU CHACHE NORTH,"2,568",983,,,,
045,KISII,269,,KITUTU CHACHE SOUTH,"3,675",858,,,,
046,NYAMIRA,270,,KITUTU MASABA,"4,996","2,165",5,,,
046,NYAMIRA,271,,WEST MUGIRANGO,"4,125","2,043",10,,,
046,NYAMIRA,272,,NORTH MUGIRANGO,"2,764","1,764",,,,
046,NYAMIRA,273,,BORABU,"2,457","1,756",6,,,
047,NAIROBI CITY,274,,WESTLANDS,"4,865","2,031",24,,,
047,NAIROBI CITY,275,,DAGORETTI NORTH,"7,478","2,942",5,,,
047,NAIROBI CITY,276,,DAGORETTI SOUTH,"3,729","1,672",33,,,
047,NAIROBI CITY,277,,LANGATA,"6,891","2,874",16,,,
047,NAIROBI CITY,278,,KIBRA,"4,373","3,017",,,,
047,NAIROBI CITY,279,,ROYSAMBU,"7,550","1,899",35,,,
047,NAIROBI CITY,280,,KASARANI,"5,225","1,691",,,,
047,NAIROBI CITY,281,,RUARAKA,"4,733","1,871",21,,,
047,NAIROBI CITY,282,,EMBAKASI SOUTH,"6,528","2,165",,,,
047,NAIROBI CITY,283,,EMBAKASI NORTH,"1,908",258,,,,
047,NAIROBI CITY,284,,EMBAKASI CENTRAL,"6,186","8,081",5,,,
047,NAIROBI CITY,285,,EMBAKASI EAST,"7,043","6,294",33,,,
047,NAIROBI CITY,286,,EMBAKASI WEST,"6,348","4,510",23,,,
047,NAIROBI CITY,287,,MAKADARA,"4,857","2,265",26,,,
047,NAIROBI CITY,288,,KAMUKUNJI,"8,068",,,,,
047,NAIROBI CITY,289,,STAREHE,"10,918","2,548",15,,,
047,NAIROBI CITY,290,,MATHARE,"4,726",277,,,,
